Premise,Implied,Support,Pset,Cset
Severity Model / Risk Classification; Findings Summary (Table),Detailed Findings; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Tools & Automation,15,"frozenset({'Severity Model / Risk Classification', 'Findings Summary (Table)'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Scope', 'Status of Findings / Verification'})"
Severity Model / Risk Classification; Findings Summary (Table); Recommendations / Remediation Guidance,Detailed Findings; Executive Summary; Methodology / Procedure; Scope; Status of Findings / Verification; Tools & Automation,15,"frozenset({'Recommendations / Remediation Guidance', 'Severity Model / Risk Classification', 'Findings Summary (Table)'})","frozenset({'Tools & Automation', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Scope', 'Status of Findings / Verification'})"
Severity Model / Risk Classification; Findings Summary (Table); Detailed Findings,Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification; Tools & Automation,15,"frozenset({'Detailed Findings', 'Severity Model / Risk Classification', 'Findings Summary (Table)'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Methodology / Procedure', 'Executive Summary', 'Scope', 'Status of Findings / Verification'})"
Tools & Automation; Severity Model / Risk Classification; Findings Summary (Table),Detailed Findings; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Status of Findings / Verification,15,"frozenset({'Tools & Automation', 'Severity Model / Risk Classification', 'Findings Summary (Table)'})","frozenset({'Recommendations / Remediation Guidance', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Scope', 'Status of Findings / Verification'})"
Severity Model / Risk Classification; Findings Summary (Table); Status of Findings / Verification,Detailed Findings; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance; Scope; Tools & Automation,15,"frozenset({'Status of Findings / Verification', 'Severity Model / Risk Classification', 'Findings Summary (Table)'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Scope'})"
Methodology / Procedure; Tools & Automation; Threat / Trust Model,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Scope; Status of Findings / Verification; Testing / Coverage Quality,14,"frozenset({'Tools & Automation', 'Threat / Trust Model', 'Methodology / Procedure'})","frozenset({'Documentation Quality', 'Detailed Findings', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Threat / Trust Model; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Executive Summary; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,14,"frozenset({'Limitations / Disclaimers / Non-Goals', 'Threat / Trust Model'})","frozenset({'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Tools & Automation; Threat / Trust Model,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality,14,"frozenset({'Tools & Automation', 'Threat / Trust Model'})","frozenset({'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Executive Summary; Threat / Trust Model,Detailed Findings; Documentation Quality; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,14,"frozenset({'Threat / Trust Model', 'Executive Summary'})","frozenset({'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Executive Summary; Privileged Roles & Centralisation Risks,Detailed Findings; Methodology / Procedure; Recommendations / Remediation Guidance; Scope,14,"frozenset({'Privileged Roles & Centralisation Risks', 'Executive Summary'})","frozenset({'Detailed Findings', 'Recommendations / Remediation Guidance', 'Scope', 'Methodology / Procedure'})"
Executive Summary; Recommendations / Remediation Guidance; Privileged Roles & Centralisation Risks,Detailed Findings; Methodology / Procedure; Scope,14,"frozenset({'Privileged Roles & Centralisation Risks', 'Recommendations / Remediation Guidance', 'Executive Summary'})","frozenset({'Detailed Findings', 'Scope', 'Methodology / Procedure'})"
Scope; Threat / Trust Model,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,14,"frozenset({'Threat / Trust Model', 'Scope'})","frozenset({'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Scope; Privileged Roles & Centralisation Risks,Detailed Findings; Executive Summary; Methodology / Procedure; Recommendations / Remediation Guidance,14,"frozenset({'Privileged Roles & Centralisation Risks', 'Scope'})","frozenset({'Detailed Findings', 'Recommendations / Remediation Guidance', 'Methodology / Procedure', 'Executive Summary'})"
Executive Summary; Status of Findings / Verification; Threat / Trust Model,Detailed Findings; Documentation Quality; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Testing / Coverage Quality; Tools & Automation,14,"frozenset({'Status of Findings / Verification', 'Threat / Trust Model', 'Executive Summary'})","frozenset({'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality'})"
Tools & Automation; Threat / Trust Model; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification,14,"frozenset({'Tools & Automation', 'Threat / Trust Model', 'Testing / Coverage Quality'})","frozenset({'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Status of Findings / Verification'})"
Methodology / Procedure; Threat / Trust Model; Documentation Quality,Detailed Findings; Executive Summary; Limitations / Disclaimers / Non-Goals; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,14,"frozenset({'Documentation Quality', 'Threat / Trust Model', 'Methodology / Procedure'})","frozenset({'Tools & Automation', 'Detailed Findings', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Methodology / Procedure; Privileged Roles & Centralisation Risks,Detailed Findings; Executive Summary; Recommendations / Remediation Guidance; Scope,14,"frozenset({'Privileged Roles & Centralisation Risks', 'Methodology / Procedure'})","frozenset({'Detailed Findings', 'Recommendations / Remediation Guidance', 'Scope', 'Executive Summary'})"
Methodology / Procedure; Findings Summary (Table); Risk Taxonomy / Terminology & References,Detailed Findings; Executive Summary; Recommendations / Remediation Guidance; Scope; Tools & Automation,14,"frozenset({'Findings Summary (Table)', 'Methodology / Procedure', 'Risk Taxonomy / Terminology & References'})","frozenset({'Recommendations / Remediation Guidance', 'Tools & Automation', 'Detailed Findings', 'Executive Summary', 'Scope'})"
Scope; Methodology / Procedure; Threat / Trust Model,Detailed Findings; Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,14,"frozenset({'Threat / Trust Model', 'Scope', 'Methodology / Procedure'})","frozenset({'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Executive Summary; Threat / Trust Model; Testing / Coverage Quality,Detailed Findings; Documentation Quality; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Tools & Automation,14,"frozenset({'Threat / Trust Model', 'Testing / Coverage Quality', 'Executive Summary'})","frozenset({'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Status of Findings / Verification'})"
Executive Summary; Threat / Trust Model; Documentation Quality,Detailed Findings; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,14,"frozenset({'Documentation Quality', 'Threat / Trust Model', 'Executive Summary'})","frozenset({'Tools & Automation', 'Detailed Findings', 'Methodology / Procedure', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Detailed Findings; Status of Findings / Verification; Threat / Trust Model,Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Testing / Coverage Quality; Tools & Automation,14,"frozenset({'Detailed Findings', 'Threat / Trust Model', 'Status of Findings / Verification'})","frozenset({'Tools & Automation', 'Documentation Quality', 'Methodology / Procedure', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality'})"
Executive Summary; Threat / Trust Model; Limitations / Disclaimers / Non-Goals,Detailed Findings; Documentation Quality; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,14,"frozenset({'Limitations / Disclaimers / Non-Goals', 'Threat / Trust Model', 'Executive Summary'})","frozenset({'Tools & Automation', 'Documentation Quality', 'Detailed Findings', 'Methodology / Procedure', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Methodology / Procedure; Detailed Findings; Threat / Trust Model,Documentation Quality; Executive Summary; Limitations / Disclaimers / Non-Goals; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,14,"frozenset({'Detailed Findings', 'Threat / Trust Model', 'Methodology / Procedure'})","frozenset({'Tools & Automation', 'Documentation Quality', 'Executive Summary', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
Executive Summary; Detailed Findings; Privileged Roles & Centralisation Risks,Methodology / Procedure; Recommendations / Remediation Guidance; Scope,14,"frozenset({'Detailed Findings', 'Privileged Roles & Centralisation Risks', 'Executive Summary'})","frozenset({'Recommendations / Remediation Guidance', 'Scope', 'Methodology / Procedure'})"
Executive Summary; Detailed Findings; Threat / Trust Model,Documentation Quality; Limitations / Disclaimers / Non-Goals; Methodology / Procedure; Scope; Status of Findings / Verification; Testing / Coverage Quality; Tools & Automation,14,"frozenset({'Detailed Findings', 'Threat / Trust Model', 'Executive Summary'})","frozenset({'Tools & Automation', 'Documentation Quality', 'Methodology / Procedure', 'Limitations / Disclaimers / Non-Goals', 'Scope', 'Testing / Coverage Quality', 'Status of Findings / Verification'})"
